Date,CT,FT,IT
2019/11/15,28.5,31.9,32.8
2019/11/16,34.7,26.7,36.5
2019/11/17,34.2,27.1,34.5
2019/11/18,37.9,38.5,36.8
2019/11/19,38.3,33.9,38.4
2019/11/20,42.5,40,42.3
2019/11/21,47.8,43.3,45.3
2019/11/22,37.2,38.7,42.6
2019/11/23,32.4,30.4,32.8
2019/11/24,39.4,36,36.7
2019/11/25,45.5,43.7,43.2
2019/11/26,42.1,44.2,47.5
2019/11/27,45.8,47.2,48.2
2019/11/28,35.2,36,35.9
2019/11/29,37.2,33.9,37.7
2019/11/30,38.5,34.5,38.9
2019/12/1,40.5,34.2,41.3
2019/12/2,33.3,32.9,34.5
2019/12/3,33.5,31.4,32.8
2019/12/4,37.6,35.4,37.6
2019/12/5,36.8,34,37.6
2019/12/6,39.2,37.3,44
2019/12/7,32,28.7,32
2019/12/8,39.9,37.5,37.9
2019/12/9,47.2,48.2,51
2019/12/10,23.2,34.3,30.1
2019/12/11,19.2,22,22.4
2019/12/12,30.1,22,29.6
2019/12/13,39.7,36.5,35.8
2019/12/14,34.2,33.7,39.6
2019/12/15,24.8,30.9,29.4
2019/12/16,27.8,28.2,30.1
2019/12/17,26.6,28.1,29.5
2019/12/18,21.3,21.5,21.9
2019/12/19,24.3,18.8,19.2
2019/12/20,31.3,30,30.5
2019/12/21,39,35.8,35.5
2019/12/22,40.4,41,36.1
2019/12/23,42.8,43.5,39.6
2019/12/24,40.8,31.4,39.5
2019/12/25,48.8,40.1,44.7
2019/12/26,56.3,46.8,54.7
2019/12/27,38.3,47.2,48.6
2019/12/28,36,36,42.9
2019/12/29,54.3,42.2,57
2019/12/30,39,44.1,43
2019/12/31,27.7,31.5,33.6
2020/1/1,30.6,30.2,36.7
2020/1/2,42.4,40.3,44.8
2020/1/3,39.6,41,46.4
2020/1/4,33.2,34.6,37.2
2020/1/5,32.3,31.6,33.7
2020/1/6,34.2,36.7,35.9
2020/1/7,34.9,34.4,35.8
2020/1/8,24.7,26.1,31.8
2020/1/9,34.2,24.9,35.9
2020/1/10,46.5,47.9,50.8
2020/1/11,36.3,41.7,55.7
2020/1/12,28.5,26,35.5
2020/1/13,32.6,30.6,38.4
2020/1/14,36.6,35.3,38.2
2020/1/15,33.5,36.6,38.2
2020/1/16,26.1,32.5,34.1
2020/1/17,22.1,23.6,24.7
2020/1/18,30.9,30,35.2
2020/1/19,10.2,24.5,15.9
2020/1/20,23,13.8,17.8
2020/1/21,23.6,21.1,26
2020/1/22,28.2,25.4,24.6
2020/1/23,32.5,33.2,36.1
2020/1/24,36.1,36.2,39.3
2020/1/25,34.1,36.9,34.5
2020/1/26,32.2,35.1,32.5
2020/1/27,31.1,34.4,30.4
2020/1/28,32.8,33.7,31.8
2020/1/29,31.7,30.7,32.5
2020/1/30,32.7,30.5,33.3
2020/1/31,33.6,31.7,34.8
2020/2/1,34.8,30,36.9
2020/2/2,41.7,38.3,43.3
2020/2/3,39.5,41.1,49
2020/2/4,36.3,35.6,52.1
2020/2/5,30,26.9,33.4
2020/2/6,28.6,26.2,28.7
2020/2/7,29.7,28.4,27.9
2020/2/8,30.7,23.8,30.1
2020/2/9,29.9,26.8,29.1
2020/2/10,32,33.2,36.6
2020/2/11,30.5,30.1,34.4
2020/2/12,29.5,28.6,32.3
2020/2/13,24.5,26.6,29.8
2020/2/14,6.3,8.4,10.9
2020/2/15,18.6,17.7,22.7
2020/2/16,29.7,33.9,40.2
2020/2/17,34.1,27.3,36.6
2020/2/18,36.7,34.9,42.7
2020/2/19,25.1,25.8,30.7
2020/2/20,19.7,18.4,27.8
2020/2/21,21.9,20.8,23.1
2020/2/22,35.7,32.4,31.5
2020/2/23,42.1,41.4,39.8
2020/2/24,41.4,41.8,41.8
2020/2/25,37.7,37.4,40.7
2020/2/26,31.2,30,33.2
2020/2/27,27.1,22.4,28.2
2020/2/28,23.6,21.8,27.8
2020/2/29,25.3,24.9,25
2020/3/1,40.1,31.6,38
2020/3/2,45.4,46.9,51.2
2020/3/3,39.2,40,48.4
2020/3/4,41.6,39,44.6
2020/3/5,42.1,35.3,43.2
2020/3/6,36.1,36.1,37.7
2020/3/7,35,31.2,32.8
2020/3/8,49.8,46.4,44.6
2020/3/9,54.1,56.3,56.1
2020/3/10,43.9,48.5,50.5
2020/3/11,38.5,38.7,41.5
2020/3/12,44.6,43.8,48.4
2020/3/13,43.4,44.3,47.3
2020/3/14,38.7,34,38.4
2020/3/15,35.3,34.5,36.6
2020/3/16,36,32.9,41.6
2020/3/17,40.6,41.9,44.1
2020/3/18,41.3,38.9,44
2020/3/19,45.3,42.1,52.5
2020/3/20,48.1,49.1,58.5
2020/3/21,30.5,29.6,32.8
2020/3/22,30.7,28.8,32.7
2020/3/23,35.6,34.9,38.5
2020/3/24,38.6,37.9,41.9
2020/3/25,43,43,43.3
2020/3/26,47.8,50.4,53.7
2020/3/27,42.4,43.3,55
2020/3/28,49.3,46.1,63.5
2020/3/29,52.2,52,60.5
2020/3/30,45,43.3,51.4
2020/3/31,39.6,40.7,42.6
2020/4/1,42.9,43.1,43.8
2020/4/2,44,45.9,48
2020/4/3,54.2,46.6,55.8
2020/4/4,47.4,46.4,54.7
2020/4/5,42,44.7,47.2
2020/4/6,48.1,46.6,52.3
2020/4/7,64.8,53.6,66.4
2020/4/8,59.1,58.6,70.3
2020/4/9,46,45.7,50.7
2020/4/10,40.5,38.3,39.3
2020/4/11,50.6,42.9,49
2020/4/12,55.7,53.3,53.8
2020/4/13,44.8,50.6,47
2020/4/14,35.8,36.4,38.5
2020/4/15,33.5,32.4,37.4
2020/4/16,37,33.4,35.4
2020/4/17,37.6,35.5,42.4
2020/4/18,43.4,41,41.3
2020/4/19,51.3,52.8,48.7
2020/4/20,48.9,42.9,51.5
2020/4/21,46.8,42,51.6
2020/4/22,46.3,32.8,51.7
2020/4/23,51.4,37.7,56.1
2020/4/24,44.6,44.9,55.9
2020/4/25,44.3,47,58.2
2020/4/26,50.1,53.7,51.1
2020/4/27,53.3,50.3,52.2
2020/4/28,62.3,58.6,63.8
2020/4/29,56.6,60.3,60.6
2020/4/30,45.8,55.7,46.9
2020/5/1,51.6,52.8,51
2020/5/2,66,62.2,65.3
2020/5/3,66.2,64.7,66
2020/5/4,47.3,50.1,55.6
2020/5/5,44.9,46,52.4
2020/5/6,49,47.9,47.4
2020/5/7,55.4,51.8,53.5
2020/5/8,43.3,41.9,52.2
2020/5/9,43.1,39.1,41.4
2020/5/10,48.7,48.8,50.3
2020/5/11,42.9,41.5,42.8
2020/5/12,49.6,44.9,48.1
2020/5/13,54.6,46,52.1
2020/5/14,60.7,53.3,60.2
2020/5/15,66.8,65.6,68.4
2020/5/16,60.2,62,68.4
2020/5/17,59.5,57.4,69.9
2020/5/18,61.3,58.1,62.5
2020/5/19,55.1,59.8,62
2020/5/20,58.9,62.2,56.5
2020/5/21,60.8,62.5,57.2
2020/5/22,61.6,65.2,62.9
2020/5/23,65.7,66.9,69
2020/5/24,74.8,73.1,72.2
2020/5/25,78.2,77.2,74
2020/5/26,78.7,76.1,76
2020/5/27,79.1,78.6,74
2020/5/28,74.6,74,71.3
2020/5/29,67.9,68.7,68.1
2020/5/30,63,62.9,65.4
2020/5/31,58.6,55.2,64.1
2020/6/1,63.4,60.7,63.5
2020/6/2,78.1,73.7,72.5
2020/6/3,77.8,77.6,77.3
2020/6/4,77.5,75.6,74.2
2020/6/5,79.7,76.1,76.3
2020/6/6,74.1,75.4,78.6
2020/6/7,67.5,67.9,73.4
2020/6/8,76,69.1,75.9
2020/6/9,81,77.8,77.7
2020/6/10,76.7,82.8,79.7
2020/6/11,69.4,70.3,69.4
2020/6/12,70.2,64.1,72.2
2020/6/13,60,59.1,69.9
2020/6/14,62.2,59.6,66
2020/6/15,64.2,63.6,66.1
2020/6/16,70.3,69.7,72.3
2020/6/17,75.4,72.8,75.1
2020/6/18,77.7,74,75.8
2020/6/19,81,78.6,78.2
2020/6/20,81.9,80.6,79.8
2020/6/21,75.1,79,74.4
2020/6/22,75.6,77.5,72.5
2020/6/23,69.3,73,72
2020/6/24,69.5,67.4,70.8
2020/6/25,73,69.5,72.5
2020/6/26,75.3,73.7,76.5
2020/6/27,77.8,77.3,74.9
2020/6/28,77.2,77.4,74.3
2020/6/29,79.7,77.5,78
2020/6/30,78.8,79,77.4
2020/7/1,80.4,79.6,78.8
2020/7/2,81,80.4,81.1
2020/7/3,80.3,82.7,81
2020/7/4,81.3,83.7,81.7
2020/7/5,82.2,80.2,80.9
2020/7/6,85.1,84.6,82
2020/7/7,86.1,82,79.7
2020/7/8,82.1,77.9,80.7
2020/7/9,84.1,79.4,80.4
2020/7/10,79,75,79.3
2020/7/11,78,73.1,76.4
2020/7/12,75.1,70.5,71.7
2020/7/13,72.8,69.2,72.8
2020/7/14,76.4,70.4,75.5
2020/7/15,79,75.7,77.6
2020/7/16,73.7,72.4,76
2020/7/17,77.6,72.6,76.9
2020/7/18,82.5,76.4,80.4
2020/7/19,80.1,77.4,80.3
2020/7/20,76.8,73.6,75
2020/7/21,75.7,70.9,78.3
2020/7/22,77,74.9,75.3
2020/7/23,74.7,73.8,78.4
2020/7/24,75.1,69.7,76.2
2020/7/25,79.6,72,76.9
2020/7/26,84.6,78.3,80
2020/7/27,79.3,79.9,80
2020/7/28,78.3,72.4,76.7
2020/7/29,79.8,73.6,77.5
2020/7/30,78.4,70.1,74.3
2020/7/31,74.9,69.1,72.8
2020/8/1,74.5,69.4,70.2
2020/8/2,71.8,68.9,70.7
2020/8/3,68.1,69,70.3
2020/8/4,66.9,62.7,68.8
2020/8/5,66.9,62.1,65.8
2020/8/6,72.3,63,68.6
2020/8/7,73.7,64.7,70.5
2020/8/8,76.8,68.3,72.6
2020/8/9,81,76,76.4
2020/8/10,79.5,78.8,77
2020/8/11,73.6,75.4,72.9
2020/8/12,74.6,69.5,75.1
2020/8/13,77.3,71,76.6
2020/8/14,79.3,73.1,78
2020/8/15,78.9,74,77.8
2020/8/16,74.5,72.7,76.5
2020/8/17,76.1,67.5,74.2
2020/8/18,74,65.7,70.9
2020/8/19,71.5,63.4,69.1
2020/8/20,73.9,67,71
2020/8/21,76.5,72.8,71.9
2020/8/22,78,72.2,75
2020/8/23,79.1,74.4,75.6
2020/8/24,83.2,75.1,78.5
2020/8/25,83.4,76.8,81
2020/8/26,83,70.3,80.4
2020/8/27,84.5,78.6,77.8
2020/8/28,84.5,72.5,79.5
2020/8/29,79.3,70.8,76.7
2020/8/30,72.2,63.2,69.7
2020/8/31,74,65.7,71.3
2020/9/1,72.7,70.2,73.9
2020/9/2,76,70.8,74.3
2020/9/3,76.5,68.1,75.4
2020/9/4,69,61.8,70.5
2020/9/5,72.8,60.6,67.4
2020/9/6,69.4,57.9,69.5
2020/9/7,74.7,70.9,75.1
2020/9/8,64.4,57.5,78.1
2020/9/9,63,57.8,77.3
2020/9/10,62.6,58.6,72
2020/9/11,63.6,57.3,69.4
2020/9/12,67.7,60.9,71.9
2020/9/13,67.5,67.4,74.1
2020/9/14,65.7,58.2,67.8
2020/9/15,67.6,55.9,65.7
2020/9/16,70.6,63.4,64.4
2020/9/17,67.8,60.5,66.1
2020/9/18,59.4,50.3,60.4
2020/9/19,55,45.5,55.8
2020/9/20,60.2,50.1,60
2020/9/21,64,53.6,61.8
2020/9/22,66.4,57.8,63.2
2020/9/23,68.4,60.8,62.7
2020/9/24,67.7,63.6,65.3
2020/9/25,70.5,61.7,66.8
2020/9/26,69,66.8,66.1
2020/9/27,71.2,68.5,67.8
2020/9/28,56.6,57.8,62.2
2020/9/29,53.5,53.7,53.3
2020/9/30,57.8,52,56.7
2020/10/1,52.9,48.8,54.1
2020/10/2,49.2,45.9,49.6
2020/10/3,50.3,47.9,53.3
2020/10/4,49.1,50,52.9
2020/10/5,49.4,47.4,47.1
2020/10/6,59.6,56.7,56.5
2020/10/7,67.2,63.4,66.5
2020/10/8,59.5,53.3,64.5
2020/10/9,63.9,54.3,66.8
2020/10/10,68.3,70.4,69
2020/10/11,61.8,56.8,67.8
2020/10/12,62.2,57.2,66.5
2020/10/13,56.3,55.7,54.2
2020/10/14,60.5,52.3,60.1
2020/10/15,57.6,57.6,58.3
2020/10/16,45.3,42.7,44.5
2020/10/17,50.2,43.8,47.8
2020/10/18,52.5,53.1,56.8
2020/10/19,43,44.2,48.8
2020/10/20,46.6,44.9,48
2020/10/21,50.8,52.9,58.2
2020/10/22,57.5,49.7,65.4
2020/10/23,60.5,65.7,67.2
2020/10/24,41.5,42.5,46.5
2020/10/25,44.6,41.2,47.3
2020/10/26,39,44.2,46.1
2020/10/27,35.8,40,44.8
2020/10/28,39.9,43.1,47
2020/10/29,45,43.8,47.8
2020/10/30,37.3,37.7,42.3
2020/10/31,42.7,39.1,42.3
2020/11/1,43.9,43.6,46.3
2020/11/2,37.1,37.7,35.3
2020/11/3,51.2,47.8,46.7
2020/11/4,59.9,59.8,56.4
2020/11/5,63,61.8,58.5
2020/11/6,60.8,59.4,56.4
2020/11/7,62.2,62.7,57.4
2020/11/8,64.7,60.5,63
2020/11/9,69.4,65.3,64.2
2020/11/10,70.1,70.4,69.4
2020/11/11,43.8,54.1,51.4
2020/11/12,42.6,39.5,39.9
2020/11/13,41,41.3,42.7
2020/11/14,35.8,35.2,36.4
2020/11/15,46,46.6,50.2
2020/11/16,38,40.1,42.7
2020/11/17,38,35.2,40.6
2020/11/18,41.6,33,38.4
2020/11/19,53.5,49.9,51
2020/11/20,58,59.1,58.5
2020/11/21,44,42.5,49
2020/11/22,42.2,35.5,41.1
2020/11/23,40.3,37.8,40.1
2020/11/24,37.8,30.2,42.5
2020/11/25,45.1,42.1,48.1
2020/11/26,43.9,46.4,48.3
2020/11/27,40.8,43.6,46.6
2020/11/28,37.5,37.7,38.6
2020/11/29,42.3,43,39.3
2020/11/30,34.8,38,37.1
2020/12/1,29.5,30.9,30
2020/12/2,32.9,35.6,28.7
2020/12/3,36.3,38.5,32.6
2020/12/4,38.1,40.7,38.8
2020/12/5,35,34.7,33.6
2020/12/6,35.3,29.6,31.6
2020/12/7,35.7,31.9,32.2
2020/12/8,35.4,29.7,34.8
2020/12/9,39.3,38.8,39.6
2020/12/10,42.7,36.1,43
2020/12/11,43,40.4,50.8
2020/12/12,40.5,44.7,51
2020/12/13,32.7,34.2,38.5
2020/12/14,30.3,33.2,33.3
2020/12/15,26.8,25.5,27.9
2020/12/16,30.7,27.9,29.8
2020/12/17,33.7,29.4,29.9
2020/12/18,30.5,30,29.8
2020/12/19,38.7,33.9,36.5
2020/12/20,36.8,37.4,37.9
2020/12/21,38.3,36.3,39
2020/12/22,37.5,36.4,38.5
2020/12/23,46.9,42.1,41
2020/12/24,23.1,37.9,30.9
2020/12/25,14.4,22.9,12.8
2020/12/26,23.9,25.6,21.1
2020/12/27,33,30.5,34.7
2020/12/28,33.2,36.3,36.1
2020/12/29,24.9,27.3,27.3
2020/12/30,32.6,33.8,38.5
2020/12/31,26.2,31.7,27.8
2021/1/1,29.7,26.1,31.5
2021/1/2,33.6,33.7,35.5
2021/1/3,33,34.2,33.7
2021/1/4,27.6,33.8,33.4
2021/1/5,31.6,32.3,33.1
2021/1/6,33.8,35.2,34.2
2021/1/7,37,35,35.3
2021/1/8,35.2,30.5,32.1
2021/1/9,32.8,25.3,27.5
2021/1/10,28.9,24.4,26.2
2021/1/11,25.7,29.4,25.5
2021/1/12,30.9,29.1,28.7
2021/1/13,34.8,35.6,34.9
2021/1/14,37.2,39,38.7
2021/1/15,35.5,38.3,37.6
2021/1/16,32.9,31.1,29.4
2021/1/17,32.3,34.5,32
2021/1/18,28.8,31.8,29.5
2021/1/19,25.3,29.6,30.4
2021/1/20,23.9,22.8,30.3
2021/1/21,35.3,33.5,37.1
2021/1/22,23.6,29,31
2021/1/23,19,21.1,20.8
2021/1/24,30.4,24.2,29.4
2021/1/25,32.4,25.9,31.3
2021/1/26,31.3,30.6,34.4
2021/1/27,26.6,21.1,30
2021/1/28,18.8,19.2,24
2021/1/29,23.6,18.8,24.7
2021/1/30,31,14.4,29.4
2021/1/31,30.7,27.2,34.2
2021/2/1,31,26.3,29.1
2021/2/2,26.8,24.2,26
2021/2/3,26.6,21.2,27.4
2021/2/4,32.6,23.5,30.5
2021/2/5,18.1,25.8,27.3
2021/2/6,9.7,17.4,20.9
2021/2/7,2.6,12,11
2021/2/8,6.7,9.3,15.2
2021/2/9,10.9,14.5,22.4
2021/2/10,11.8,10.1,20.6
2021/2/11,14.6,14.2,19.8
2021/2/12,17.2,18.8,21.4
2021/2/13,9.7,17.7,22.8
2021/2/14,1.2,12.9,12.5
2021/2/15,5.3,12.1,12.8
2021/2/16,12.8,13.2,12.7
2021/2/17,15.2,3.4,10.6
2021/2/18,20.2,17,20.1
2021/2/19,16.5,22.5,15.9
2021/2/20,16.9,20.8,20.7
2021/2/21,26.2,18.2,27.2
2021/2/22,32.8,33.6,36.7
2021/2/23,40.2,37.3,41.4
2021/2/24,41.5,40.9,45.7
2021/2/25,33.4,30.8,35.6
2021/2/26,34,30.5,35.6
2021/2/27,40.4,38.3,44.4
2021/2/28,42.8,40.9,52.3
2021/3/1,32.5,36.6,39.6
2021/3/2,30.5,25.3,31.3
2021/3/3,44.3,39.7,41.3
2021/3/4,35.6,32.9,42.2
2021/3/5,35.4,28.6,35
2021/3/6,36.1,31.7,36.6
2021/3/7,37.4,28.2,37.8
2021/3/8,52.1,43.6,47
2021/3/9,54.8,44.6,53.2
2021/3/10,60.3,53.2,59.6
2021/3/11,56.4,62.8,62.4
2021/3/12,45,45.1,49.2
2021/3/13,44.1,35.8,46.3
2021/3/14,44.4,41.6,44.9
2021/3/15,35.4,31.2,39.1
2021/3/16,34.7,36.9,40.1
2021/3/17,36.3,38.6,47.7
2021/3/18,39.3,41.4,48.4
2021/3/19,39.1,37.6,38.6
2021/3/20,42.6,39.7,41.3
2021/3/21,51.2,47.6,50
2021/3/22,56.5,54.9,54.7
2021/3/23,57.8,60.4,56.6
2021/3/24,56.5,61.4,62
2021/3/25,48.3,56.1,53.5
2021/3/26,39.1,45,51.2
2021/3/27,48,45.9,55.1
2021/3/28,47.6,49.8,50
2021/3/29,44.5,40.4,41.9
2021/3/30,57.3,56.3,55.6
2021/3/31,42.4,49.5,47.6
2021/4/1,33.7,36.1,33.8
2021/4/2,37.2,36.4,33.3
2021/4/3,52.2,45.5,46.3
2021/4/4,60.9,52.4,57
2021/4/5,67.3,55.3,63
2021/4/6,70.1,59.3,65.3
2021/4/7,71.2,68.7,66.3
2021/4/8,63.9,66.6,62.8
2021/4/9,55.7,63.6,61.9
2021/4/10,53,60.8,62.1
2021/4/11,50.9,58.8,49.5
2021/4/12,54.9,53.8,54.3
2021/4/13,50.1,53.5,55
2021/4/14,45,44.1,54.1
2021/4/15,44.9,40.3,46
2021/4/16,45.6,42.9,48.6
2021/4/17,45.3,45.8,51.5
2021/4/18,49.9,49.9,50.5
2021/4/19,49.8,50.2,53.2
2021/4/20,39.8,37.1,41.8
2021/4/21,39.2,34.9,34.5
2021/4/22,43.2,35.6,41.2
2021/4/23,52.9,46.8,46.8
2021/4/24,54.7,50.2,51.7
2021/4/25,45.9,46.2,50.1
2021/4/26,54.8,40.6,55.8
2021/4/27,73.6,59.4,70.4
2021/4/28,53.2,63.8,70.3
2021/4/29,51.9,49.5,63.8
2021/4/30,52.1,48.6,56.8
2021/5/1,57.1,46.2,53.7
2021/5/2,73.4,71.5,65.9
2021/5/3,63.8,63,61.7
2021/5/4,55.5,58.2,62.1
2021/5/5,51.1,48.1,53.7
2021/5/6,50.3,44.1,51.3
2021/5/7,49.7,44.2,49.2
2021/5/8,45.3,44.4,47.6
2021/5/9,45.5,46,47.6
2021/5/10,46.2,43.8,47.1
2021/5/11,47.3,44.2,51.9
2021/5/12,49.9,49.1,50.3
2021/5/13,55.2,51.6,55
2021/5/14,60.9,54.2,58.2
2021/5/15,58.4,57.5,60.2
2021/5/16,62.6,58.7,62.3
2021/5/17,63.8,61.9,61.5
2021/5/18,65.5,64.8,64.6
2021/5/19,68.5,69.1,69.5
2021/5/20,74.8,74,73.5
2021/5/21,77.1,75.7,74.4
2021/5/22,77.6,73.3,72.6
2021/5/23,75.7,72.9,72.7
2021/5/24,71.1,61.3,76.4
2021/5/25,79.2,75.5,75.5
2021/5/26,73.7,71.2,73.5
2021/5/27,58.6,54.9,70.7
2021/5/28,48.9,44.6,64.6
2021/5/29,52,49.5,51.8
2021/5/30,56.1,53,56.7
2021/5/31,63.1,59.2,60.7
2021/6/1,63.7,63.5,65.6
2021/6/2,67.9,62.8,64.1
2021/6/3,71.2,66.3,67.3
2021/6/4,80.3,73.4,71.9
2021/6/5,80.4,77.3,73.4
2021/6/6,81,79,74
2021/6/7,76.9,77,73.3
2021/6/8,77.9,75.6,74.7
2021/6/9,79.3,76.9,73.2
2021/6/10,78.6,76.7,75.1
2021/6/11,81.6,76.6,78.6
2021/6/12,81,70.3,81
2021/6/13,78.4,74.7,78.9
2021/6/14,75.6,67.5,75.6
2021/6/15,71.4,65.1,70.6
2021/6/16,69.5,61.4,69.8
2021/6/17,73.3,66.2,73
2021/6/18,81.8,72.7,79
2021/6/19,80.3,69.2,74.3
2021/6/20,74.8,70.1,79
2021/6/21,70.8,68,74.9
2021/6/22,64.9,53.3,63.8
2021/6/23,70.1,58,65.4
2021/6/24,72,69.1,70.6
2021/6/25,72.6,70.6,73.4
2021/6/26,75.3,73.4,78.6
2021/6/27,77.4,76.4,78.3
2021/6/28,73.3,75.3,79
2021/6/29,77.1,75.5,81.8
2021/6/30,76.8,77,76.6
2021/7/1,72.6,71.3,74.4
2021/7/2,67,65.6,67.9
2021/7/3,71.8,67.3,67.2
2021/7/4,80.3,76.2,74.2
2021/7/5,82.4,79.4,78.3
2021/7/6,83.7,81.2,79.6
2021/7/7,81.6,74.4,79.7
2021/7/8,67.8,69.9,74.9
2021/7/9,67.6,65.8,67.6
2021/7/10,69.9,65.8,68.4
2021/7/11,68.5,66.4,71.3
2021/7/12,70.1,67.7,74.5
2021/7/13,72.8,72.6,74.4
2021/7/14,77,74.1,74.8
2021/7/15,76.6,76.2,78.3
2021/7/16,71,69.7,72.3
2021/7/17,71.8,71.2,71.8
2021/7/18,74.9,71,75
2021/7/19,75.6,73.2,75.4
2021/7/20,77.3,74.3,75.5
2021/7/21,71.2,68.6,74
2021/7/22,74,63.5,73.8
2021/7/23,82,68.6,76.1
2021/7/24,83.2,74.6,78
2021/7/25,82,77,78.5
2021/7/26,82.3,74.9,81.1
2021/7/27,81.2,74.2,79.5
2021/7/28,82.1,73.9,78.9
2021/7/29,81.1,77.6,79.7
2021/7/30,71.4,68.8,76
2021/7/31,71.4,64.5,68.5
2021/8/1,72.9,66.1,68
2021/8/2,69.9,64,67.5
2021/8/3,72.7,66.6,70.6
2021/8/4,75,69.6,71.6
2021/8/5,77.2,71.7,73.6
2021/8/6,77.5,73.5,74.1
2021/8/7,76.9,72,77.1
2021/8/8,82.4,75.7,77.9
2021/8/9,75.3,77.4,75.6
2021/8/10,83.2,76.9,80.8
2021/8/11,79.3,77,82.6
2021/8/12,80.5,76.4,82.8
2021/8/13,76,76.7,75.3
2021/8/14,73.9,68.4,76.4
2021/8/15,71.8,66.2,71.8
2021/8/16,73,66.4,74.2
2021/8/17,75.5,71.2,75.8
2021/8/18,78.7,74.7,78.2
2021/8/19,79.2,75.5,76.7
2021/8/20,80.5,76,76.9
2021/8/21,80.8,76.1,78
2021/8/22,77.8,77.5,81
2021/8/23,77.3,74.4,82.1
2021/8/24,84,74.7,82.6
2021/8/25,80,76.9,78.3
2021/8/26,78.3,80.3,79.2
2021/8/27,82,75.9,78.9
2021/8/28,84.2,79.6,78.8
2021/8/29,82.7,76.8,81
2021/8/30,77.8,74.5,76.7
2021/8/31,76.3,67.8,72.1
2021/9/1,74.6,67.8,73.5
2021/9/2,70.7,63.8,69.1
2021/9/3,71.2,61.1,69.8
2021/9/4,70.9,66.3,68
2021/9/5,71.6,69.8,71.9
2021/9/6,72.7,64.8,70.2
2021/9/7,74.6,64.3,74.9
2021/9/8,70.1,68,72.8
2021/9/9,68.3,60.9,67.4
2021/9/10,70,59.8,67.4
2021/9/11,75.2,68.1,71.1
2021/9/12,79.5,72.4,76.8
2021/9/13,76.9,65.1,75
2021/9/14,79.2,71.9,77.9
2021/9/15,69.6,67.1,70.9
2021/9/16,70.8,64.8,68.7
2021/9/17,76.3,69.2,74.4
2021/9/18,73.8,68.4,77.6
2021/9/19,75.5,63.7,76.2
2021/9/20,77.6,69.8,72.6
2021/9/21,69.3,70.9,71.1
2021/9/22,60.8,56.5,57.9
2021/9/23,59.6,53.4,56.9
2021/9/24,64,57.1,57.9
2021/9/25,62.9,60,62.5
2021/9/26,67.8,57.9,59.9
2021/9/27,74.3,69.5,69.8
2021/9/28,67,62.6,73
2021/9/29,68.7,59.9,71.4
2021/9/30,70,59.1,70.2
2021/10/1,72.3,60.6,68.4
2021/10/2,73.6,65.8,65.6
2021/10/3,71,68.6,69.8
2021/10/4,68.3,67.7,65.1
2021/10/5,66.9,65.7,66.9
2021/10/6,66.6,61.7,68
2021/10/7,69.2,65.4,67.8
2021/10/8,68.8,68.3,67.3
2021/10/9,70,66.5,69.2
2021/10/10,75.3,68.2,73
2021/10/11,73.7,72.6,72.2
2021/10/12,63.3,69.6,64.1
2021/10/13,61.9,66.1,62.1
2021/10/14,67.5,69.3,72.2
2021/10/15,59.5,60,67
2021/10/16,53.1,54.8,54.4
2021/10/17,54.4,52.5,50.8
2021/10/18,58,51.6,54.3
2021/10/19,61.9,54.1,56.5
2021/10/20,61.9,60,58.3
2021/10/21,57.2,61.2,60.3
2021/10/22,50.1,45,51.4
2021/10/23,48.9,45,50.1
2021/10/24,47.9,42,54.1
2021/10/25,50.7,47.4,58.4
2021/10/26,50.8,45,49.2
2021/10/27,47.9,47.1,46.5
2021/10/28,52.3,54.1,50.1
2021/10/29,54.5,52.9,55.5
2021/10/30,54,50.3,53.7
2021/10/31,48.7,49.5,51.7
2021/11/1,42,42.3,42.5
2021/11/2,40.4,40.2,39.9
2021/11/3,38,35.7,37.1
2021/11/4,38.6,36.9,39.1
2021/11/5,42.2,37,40.1
2021/11/6,46.1,41.6,42.3
2021/11/7,52.5,49.9,46.2
2021/11/8,55.9,54.3,52
2021/11/9,54.7,49.8,52.8
2021/11/10,49.2,40.7,53.5
2021/11/11,53.5,51.6,53.3
2021/11/12,40.8,44.6,43.1
2021/11/13,37.8,37.6,36.2
2021/11/14,36.3,35.9,34.8
2021/11/15,33.4,35,32.9
2021/11/16,39,35.2,40.1
2021/11/17,55.8,49.7,58.4
2021/11/18,37.2,41.2,43.4
2021/11/19,33.6,34.6,33.7
2021/11/20,40.5,34.4,36.5
2021/11/21,44.5,36,43.5
2021/11/22,31.8,32.6,33.7
2021/11/23,32.6,26.9,28.9
2021/11/24,43.1,38.5,39.4
2021/11/25,44.2,44.1,47.7
2021/11/26,25.2,29.4,28.6
2021/11/27,33.9,27.5,34.8
2021/11/28,34.7,30.4,36.6
2021/11/29,33.2,29.8,31.2
2021/11/30,41.7,32.3,41.1
2021/12/1,41.9,33.5,39.3
2021/12/2,51.2,44.5,50
2021/12/3,46.4,34,46.5
2021/12/4,39,36.6,41.8
2021/12/5,38.1,32.2,39
2021/12/6,35.4,37.4,44.4
2021/12/7,17.9,21.8,22.2
2021/12/8,28.1,22.9,29.4
2021/12/9,35.5,26.3,36.2
2021/12/10,41.9,38.4,49.8
2021/12/11,46.6,46.8,51.1
2021/12/12,38.4,36.6,35.4
2021/12/13,42,42,39.3
2021/12/14,43.3,35.2,44.2
2021/12/15,58.2,46.4,54.7
2021/12/16,53.3,57.1,57.6
