,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,754768.75,761565.3125,738763.4375,748605.3125,774481.25,834072.375,934001.125,979891.8125,962061.875,948126.3125,931035.5,924629.3125,903621.0,896191.4375,891617.3125,884017.3125,903060.75,926225.5,962614.625,968429.5625,972344.9375,924632.6875,867197.5,803816.3125
1,721451.875,704956.375,692549.6875,684020.375,717146.875,773428.25,847985.375,893124.9375,899384.625,906273.25,901503.0,886904.3125,881403.4375,863271.5625,877009.0,863410.4375,875082.1875,894498.25,900245.0625,914761.9375,931429.5625,908336.9375,851062.0625,764143.9375
2,684178.5625,653210.25,641808.625,647698.0,664811.375,682340.0,750604.8125,820363.875,832736.5625,869555.125,863745.5,870191.8125,875231.5625,881007.5,878191.125,886163.0625,892716.5625,902900.375,905175.9375,930836.5,935552.3125,901757.75,829440.0625,741284.5625
3,677479.75,655585.0,635864.8125,637828.0,647580.125,697844.3125,752679.6875,822042.6875,841331.4375,870744.3125,895993.5,899078.9375,892237.3125,906835.3125,907053.75,908250.5625,911525.3125,939890.75,954662.5625,957739.25,953007.0,930347.5625,842938.5625,771110.1875
4,730941.1875,699420.875,689823.6875,685321.6875,700789.625,746479.375,846474.625,891448.6875,890968.625,901851.8125,917466.625,911273.6875,919726.625,917559.1875,923487.0625,926260.3125,935359.6875,952076.4375,967689.8125,974719.0625,983893.4375,943649.875,870541.9375,786305.4375
5,748774.6875,732299.0625,708471.1875,709233.3125,719586.6875,771649.0625,856389.1875,911339.4375,919796.0,925071.8125,950163.375,943391.0,950005.375,955909.5625,928845.8125,937991.625,963015.375,984294.0625,989518.1875,1007221.0625,996841.0,973282.0,901352.125,793835.875
6,775468.625,744425.3125,737890.6875,726455.25,736370.5625,796088.0,880693.0,937635.9375,937065.6875,944007.0,962486.375,954325.25,956443.9375,961204.25,948387.4375,951971.625,970558.5625,996084.375,1021764.0,1017104.6875,1009951.6875,975243.625,909151.8125,825646.0
7,776044.9375,745295.0625,737412.0625,737056.875,750033.625,787063.4375,853852.5625,905183.25,933154.0,944784.0625,950741.8125,935923.5625,928969.1875,924228.1875,923909.875,907533.625,931207.1875,946027.3125,985635.25,988899.75,992186.4375,955653.9375,889018.5,808164.4375
8,730168.5,694047.875,681700.625,682536.8125,700082.8125,746305.0625,824844.5,876640.625,885524.3125,895771.3125,894722.1875,886796.5,880921.25,872090.9375,869436.0625,868775.125,881527.875,900457.5625,919543.5,919471.3125,922535.1875,900409.125,845370.0625,768091.25
9,677246.5625,656387.8125,645482.4375,632673.125,662739.625,688808.25,724532.8125,790614.4375,832744.1875,855061.125,866644.3125,859334.0625,852015.375,842970.0,835145.125,836526.75,849475.8125,870932.0625,873491.5625,897835.0625,901799.5625,880336.875,804585.8125,736245.4375
